list-none-none,1,10,1,30,144087,4802
list-none-none,1,100,1,300,221219,737
list-none-none,1,1000,1,3000,3792912,1264
list-none-none,1,10000,1,30000,648315425,21610
list-none-none,1,20000,1,60000,3510147443,58502
list-none-none,2,1,1,6,213704,35617
list-none-none,2,10,1,60,195494,3258
list-none-none,2,100,1,600,564524,940
list-none-none,4,10,1,120,281787,2348
list-none-none,8,1,1,24,380511,15854
list-none-none,12,1,1,36,511205,14200
list-none-none,1,1000,1,3000,3635543,1211
list-none-m,1,1000,1,3000,3636550,1212
list-none-m,2,1000,1,6000,7152556,1192
list-none-m,4,1000,1,12000,14325794,1193
list-none-m,8,1000,1,24000,28116097,1171
list-none-m,12,1000,1,36000,42611930,1183
list-none-m,16,1000,1,48000,56599124,1179
list-none-m,24,1000,1,72000,87188944,1210
list-none-s,1,1000,1,3000,3862895,1287
list-none-s,2,1000,1,6000,8777656,1462
list-none-s,4,1000,1,12000,36201007,3016
list-none-s,8,1000,1,24000,132804012,5533
list-none-s,12,1000,1,36000,287329729,7981
list-none-s,16,1000,1,48000,453583016,9449
list-none-s,24,1000,1,72000,1208529454,16785
list-d-none,2,1,1,6,215311,35885
list-d-none,2,2,1,12,185466,15455
list-d-none,2,8,1,48,152443,3175
list-d-none,4,2,1,24,261274,10886
list-d-none,4,4,1,48,277315,5777
list-d-none,4,16,1,192,258896,1348
list-d-none,8,2,1,48,318557,6636
list-d-none,8,4,1,96,325617,3391
list-d-none,8,8,1,192,396640,2065
list-d-none,12,2,1,72,513570,7132
list-d-none,12,4,1,144,522304,3627
list-i-none,2,1,1,6,229277,38212
list-i-none,2,2,1,12,188137,15678
list-i-none,2,4,1,24,194552,8106
list-i-none,2,16,1,96,204873,2134
list-i-none,2,32,1,192,223305,1163
list-i-none,4,4,1,48,250211,5212
list-i-none,4,8,1,96,294487,3067
list-i-none,8,1,1,24,437142,18214
list-i-none,8,2,1,48,401344,8361
list-i-none,8,4,1,96,458830,4779
list-il-none,2,4,1,24,190149,7922
list-il-none,2,16,1,96,147833,1539
list-il-none,2,32,1,192,233606,1216
list-il-none,4,1,1,12,360258,30021
list-il-none,4,16,1,192,239987,1249
list-il-none,8,1,1,24,356919,14871
list-il-none,8,2,1,48,335973,6999
list-il-none,8,4,1,96,406316,4232
list-il-none,8,8,1,192,423910,2207
list-dl-none,2,1,1,6,179588,29931
list-dl-none,2,2,1,12,185751,15479
list-dl-none,2,4,1,24,185514,7729
list-dl-none,2,16,1,96,191457,1994
list-dl-none,2,32,1,192,233899,1218
list-dl-none,4,2,1,24,288792,12033
list-dl-none,8,1,1,24,394059,16419
list-dl-none,8,4,1,96,349840,3644
list-dl-none,12,16,1,576,482282,837
list-i-m,12,32,1,1152,443018,384
list-d-m,12,32,1,1152,479080,415
list-il-m,12,32,1,1152,498773,432
list-dl-m,12,32,1,1152,464935,403
list-i-s,12,32,1,1152,804971,698
list-d-s,12,32,1,1152,673880,584
list-il-s,12,32,1,1152,856109,743
list-dl-s,12,32,1,1152,794685,689
