add-none,2,100,400,81024,202,0
add-none,2,1000,4000,121235,30,0
add-none,2,10000,40000,691752,17,-2440
add-none,2,100000,400000,7151625,17,-14024
add-none,4,100,800,173622,217,0
add-none,4,1000,8000,281651,35,-128
add-none,4,10000,80000,2077817,25,241
add-none,4,100000,800000,18740102,23,-35383
add-none,8,100,1600,271618,169,0
add-none,8,1000,16000,604406,37,-389
add-none,8,10000,160000,5308545,33,2091
add-none,8,100000,1600000,53695711,33,-5428
add-none,12,100,2400,442776,184,-32
add-none,12,1000,24000,784172,32,226
add-none,12,10000,240000,9314120,38,4844
add-none,12,100000,2400000,99628910,41,-6600
add-none,1,100,200,143564,717,0
add-none,1,1000,2000,163444,81,0
add-none,1,10000,20000,200149,10,0
add-none,1,100000,200000,1434161,7,0
add-none,1,1000000,2000000,11944925,5,0
add-none,2,100,400,134791,336,0
add-none,2,1000,4000,162862,40,0
add-none,2,10000,40000,882710,22,448
add-none,2,100000,400000,7108855,17,-20440
add-none,2,1000000,4000000,78247834,19,-100386
add-none,4,100,800,191923,239,0
add-none,4,1000,8000,196387,24,0
add-none,4,10000,80000,1933347,24,1035
add-none,4,100000,800000,21465388,26,-26818
add-none,4,1000000,8000000,200905809,25,-132123
add-m,1,10000,20000,722737,36,0
add-m,2,10000,40000,4246657,106,0
add-m,4,10000,80000,16461777,205,0
add-m,8,10000,160000,31159689,194,0
add-m,12,10000,240000,50958591,212,0
add-c,1,10000,20000,524172,26,0
add-c,2,10000,40000,2691259,67,0
add-c,4,10000,80000,8826518,110,0
add-c,8,10000,160000,23846138,149,0
add-c,12,10000,240000,41884823,174,0
add-s,1,10000,20000,307565,15,0
add-s,2,10000,40000,3988318,99,0
add-s,4,10000,80000,23967469,299,0
add-s,8,10000,160000,79500210,496,0
add-s,12,10000,240000,179931176,749,0
add-yield-none,2,10,40,150218,3755,4
add-yield-none,4,10,80,185822,2322,14
add-yield-none,8,10,160,293057,1831,14
add-yield-none,12,10,240,399721,1665,17
add-yield-none,2,20,80,166647,2083,0
add-yield-none,4,20,160,206441,1290,10
add-yield-none,8,20,320,297964,931,47
add-yield-none,12,20,480,417629,870,117
add-yield-none,2,40,160,191433,1196,7
add-yield-none,4,40,320,233091,728,24
add-yield-none,8,40,640,345321,539,32
add-yield-none,12,40,960,462246,481,107
add-yield-none,2,80,320,240696,752,-19
add-yield-none,4,80,640,301132,470,78
add-yield-none,8,80,1280,413101,322,1
add-yield-none,12,80,1920,482555,251,82
add-yield-none,2,100,400,300004,750,20
add-yield-none,4,100,800,319024,398,-6
add-yield-none,8,100,1600,456421,285,50
add-yield-none,12,100,2400,530367,220,18
add-yield-none,2,1000,4000,1546936,386,-20
add-yield-none,4,1000,8000,1689022,211,-18
add-yield-none,8,1000,16000,2137256,133,68
add-yield-none,12,1000,24000,2706366,112,23
add-yield-none,2,10000,40000,14580245,364,-145
add-yield-none,4,10000,80000,15224248,190,-51
add-yield-none,8,10000,160000,19111809,119,-705
add-yield-none,12,10000,240000,25195390,104,-945
add-yield-none,2,100000,400000,139077738,347,0
add-yield-none,4,100000,800000,145599708,181,-1769
add-yield-none,8,100000,1600000,177093104,110,-5835
add-yield-none,12,100000,2400000,249073156,103,-3572
add-yield-none,1,100,200,282275,1411,0
add-yield-none,1,1000,2000,1406935,703,0
add-yield-none,1,10000,20000,12624471,631,0
add-yield-none,1,100000,200000,113752281,568,0
add-yield-none,1,1000000,2000000,1119324567,559,0
add-yield-none,2,100,400,295044,737,0
add-yield-none,2,1000,4000,2390237,597,6
add-yield-none,2,10000,40000,15215070,380,0
add-yield-none,2,100000,400000,140704176,351,-1549
add-yield-none,2,1000000,4000000,1387735451,346,-1224
add-yield-none,4,100,800,336278,420,-67
add-yield-none,4,1000,8000,1701598,212,-105
add-yield-none,4,10000,80000,15381737,192,-115
add-yield-none,4,100000,800000,149369061,186,-5135
add-yield-none,4,1000000,8000000,1447138226,180,-15028
add-yield-m,2,10000,40000,37007222,925,0
add-yield-m,4,10000,80000,106537459,1331,0
add-yield-m,8,10000,160000,250269279,1564,0
add-yield-m,12,10000,240000,372472636,1551,0
add-yield-c,2,10000,40000,28256253,706,0
add-yield-c,4,10000,80000,58649959,733,0
add-yield-c,8,10000,160000,125891128,786,0
add-yield-c,12,10000,240000,220791669,919,0
add-yield-s,2,10000,40000,28983129,724,0
add-yield-s,4,10000,80000,98228052,1227,0
add-yield-s,8,1000,16000,27634373,1727,0
add-yield-s,12,1000,24000,47429334,1976,0
